# name			lto	ss	rtchk	bb	func	huge
"400.perlbench"		13.29	0.0	13.29	4.9	3.50	2.80
"401.bzip2"		0.93	2.10	0.70	0.7	3.50	0.23
"403.gcc"		7.93	6.10	1.22	1.22	0.61	3.05
"429.mcf"		25.51	28.40	3.29	4.12	1.23	1.23
"433.milc"		60.58	53.45	0.0	-0.89	0.89	-2.0
"444.namd"		0.65	0.33	0.0	0.33	0.33	0.33
"445.gobmk"		3.13	-2.88	1.20	0.0	0.24	0.0
"447.dealII"		28.19	8.81	-0.88	-0.88	0.0	0.0
"450.soplex"		18.41	18.91	1.0	1.49	0.5	1.49
"453.povray"		18.03	0.0	75.00	9.84	3.28	3.69
"456.hmmer"		2.15	5.38	0.36	0.0	0.0	63.44
"462.libquantum"	-0.36	0.71	3.21	2.50	2.5	1.43
"458.sjeng"		13.08	4.44	6.78	4.44	3.97	3.74
"464.h264ref"		11.28	4.10	9.49	7.18	7.18	6.41
"470.lbm"		20.73	23.98	2.03	1.63	0.81	1.22
"471.omnetpp"		26.62	11.34	0.0	-0.23	-1.16	-1.62
"473.astar"		3.58	-3.58	0.0	0.0	-0.55	-0.55
"482.sphinx3"		-0.67	1.11	2.0	2.22	-1.55	-0.89
"483.xalancbmk"		10.36	-0.90	6.76	2.70	1.35	1.80
"Average-SPEC"		13.87	8.52	6.60	2.17	1.40	4.52
